modelo,experimento,learning_rate,epochs_total,batch_size,mejor_epoch,mejor_val_accuracy,epoca,train_loss,train_accuracy,val_loss,val_accuracy,es_mejor_modelo
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,22,1.6099077481972544,19.99074074074074,1.6094466717738025,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,23,1.6096680201982196,19.991872427983537,1.6094456551209935,20.05648148148148,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,24,1.60945613534827,19.9380658436214,1.60944335753063,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,25,1.6104257244812814,19.97417695473251,1.6094519169825428,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,26,1.6110560890247947,20.014711934156377,1.6094402727091088,20.05648148148148,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,27,1.6095337615515057,20.028703703703705,1.6094397430150014,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,28,1.609448828822688,19.98909465020576,1.6094686321492464,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,29,1.6094565292408591,19.989814814814814,1.6094631608927026,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,30,1.60945568925456,19.979423868312757,1.6094425792964,20.010185185185186,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,31,1.6095005418124952,20.03796296296296,1.6094465784306795,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,32,1.609458009443785,19.88425925925926,1.6094457102271746,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,33,1.6094586496604117,19.956893004115226,1.609449676747592,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,34,1.6096313954654493,19.94639917695473,1.609441599755917,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,35,1.6101798209391143,20.013477366255145,1.609458770392076,20.05648148148148,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,36,1.6094551272141306,19.973251028806583,1.609438234905027,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,37,1.6094592211121006,19.988168724279834,1.6094613660056636,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,38,1.6094476768845005,20.012860082304528,1.6094809658122513,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,39,1.6094591464494403,19.954526748971194,1.609439362894814,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,40,1.6094579213543942,19.977777777777778,1.609441727962134,19.974074074074075,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,41,1.6094558458579213,20.01358024691358,1.6094362297148075,20.05648148148148,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,42,1.6094494183439958,20.030246913580246,1.609449567659846,20.026851851851852,False
RedNeuronalIntermedia,exp_1,0.001,100,1024,11,20.05648148148148,43,1.6094510828821282,20.002469135802468,1.6094565256586615,20.026851851851852,False
