epoch,train_loss,train_acc,val_loss,val_acc,modelo,experimento,learning_rate,batch_size,epochs_total,mejor_epoch,mejor_val_accuracy
21,0.8717513380560485,63.361111111111114,0.960426131884257,59.583333333333336,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
22,0.8681897086167486,63.4358024691358,0.9653954141669803,58.77777777777778,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
23,0.8627801290098226,63.62222222222222,0.9643573297394646,59.2,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
24,0.8589985149461519,63.88765432098766,0.9674495458602905,58.82222222222222,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
25,0.8571702331866858,64.01358024691358,0.9629874957932366,59.327777777777776,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
26,0.8534959779595429,64.0746913580247,0.9603037138779958,59.09444444444444,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
27,0.8474955138920238,64.31481481481481,0.990775767299864,57.577777777777776,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
28,0.8444479175333707,64.53518518518518,0.9676022397147285,59.09444444444444,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
29,0.8422461943056598,64.54012345679013,0.9725407130188413,59.166666666666664,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
30,0.8366922773655106,64.8641975308642,0.9720841977331374,59.02777777777778,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
31,0.8339460338436583,64.94876543209877,0.9777047468556298,58.09444444444444,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
32,0.8306381470002469,65.1037037037037,0.977797763215171,58.96111111111111,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
33,0.8256369086931337,65.43024691358025,0.9812130398220487,58.68888888888889,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
34,0.8240579973976567,65.48148148148148,0.9857184158431159,58.766666666666666,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
35,0.8207514492220849,65.65925925925926,0.9763837224907346,58.66111111111111,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
36,0.8163818008494828,65.86604938271606,0.9930739767021604,58.65,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
37,0.8140107168341583,65.99567901234568,0.9812967611683739,58.87777777777778,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
38,0.8112123106260719,66.07777777777778,0.9823319878843095,59.01111111111111,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
39,0.8084923767443722,66.2925925925926,0.9854753878381517,59.272222222222226,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
40,0.8055123559333993,66.3246913580247,0.9975555108653175,58.65,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
41,0.8039961011154847,66.39938271604939,0.9888919161425697,58.84444444444444,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
42,0.8006008780977261,66.56851851851852,0.9961802032258775,58.78888888888889,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
43,0.7980496159889413,66.74691358024691,1.0128569106260936,57.81666666666667,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
44,0.7966268325001938,66.72962962962963,1.0147621995872922,58.73888888888889,RedNeuronalSimple,exp_1,0.001,1024,100,21,59.583333333333336
